"item_id","item_name"
3080,"100.01.01"
3767,"100.01.01"
3803,"100.01.01"
3844,"100.01.01"
3982,"100.01.01"
4607,"100.01.01"
4989,"100.01.01"
12706,"100.01.01"
12950,"100.01.01"
23435,"100.01.01"
3081,"100.02.01"
3768,"100.02.01"
3804,"100.02.01"
3845,"100.02.01"
3983,"100.02.01"
4608,"100.02.01"
4990,"100.02.01"
12707,"100.02.01"
12951,"100.02.01"
23436,"100.02.01"
3082,"100.03.01"
3769,"100.03.01"
3805,"100.03.01"
3846,"100.03.01"
3984,"100.03.01"
4609,"100.03.01"
4991,"100.03.01"
12708,"100.03.01"
12952,"100.03.01"
23437,"100.03.01"
3083,"100.04.01"
3770,"100.04.01"
3806,"100.04.01"
3847,"100.04.01"
3985,"100.04.01"
4610,"100.04.01"
4992,"100.04.01"
12709,"100.04.01"
12953,"100.04.01"
3084,"100.05.01"
3771,"100.05.01"
3807,"100.05.01"
3848,"100.05.01"
3986,"100.05.01"
4611,"100.05.01"
4993,"100.05.01"
12710,"100.05.01"
12954,"100.05.01"
23438,"100.05.01"
3085,"100.06.01"
3772,"100.06.01"
3808,"100.06.01"
3849,"100.06.01"
3987,"100.06.01"
4612,"100.06.01"
4994,"100.06.01"
12711,"100.06.01"
12955,"100.06.01"
23439,"100.06.01"
3086,"100.07.01"
3773,"100.07.01"
3809,"100.07.01"
3850,"100.07.01"
3988,"100.07.01"
4614,"100.07.01"
4995,"100.07.01"
12712,"100.07.01"
12956,"100.07.01"
23440,"100.07.01"
3087,"100.08.01"
3774,"100.08.01"
3810,"100.08.01"
3851,"100.08.01"
3989,"100.08.01"
4613,"100.08.01"
4996,"100.08.01"
12713,"100.08.01"
12957,"100.08.01"
23441,"100.08.01"
3088,"100.09.01"
3775,"100.09.01"
3811,"100.09.01"
3852,"100.09.01"
3990,"100.09.01"
4615,"100.09.01"
4997,"100.09.01"
12714,"100.09.01"
12958,"100.09.01"
23442,"100.09.01"
3089,"100.10.01"
3776,"100.10.01"
3812,"100.10.01"
3853,"100.10.01"
3991,"100.10.01"
4616,"100.10.01"
4998,"100.10.01"
12715,"100.10.01"
12959,"100.10.01"
23443,"100.10.01"
3090,"100.11.01"
3777,"100.11.01"
3813,"100.11.01"
3854,"100.11.01"
3992,"100.11.01"
4617,"100.11.01"
4999,"100.11.01"
12716,"100.11.01"
12960,"100.11.01"
23444,"100.11.01"
3091,"100.12.01"
3778,"100.12.01"
3814,"100.12.01"
3855,"100.12.01"
3993,"100.12.01"
4618,"100.12.01"
5000,"100.12.01"
12717,"100.12.01"
12961,"100.12.01"
5001,"100.13.01"
23445,"100.13.01"
5002,"100.14.01"
23446,"100.14.01"
23447,"100.15.01"
18864,"1400.01.01"
18865,"1400.02.01"
18866,"1400.03.01"
18867,"1400.04.01"
18868,"1400.05.01"
18869,"1400.06.01"
18870,"1400.07.01"
18871,"1400.08.01"
18872,"1400.09.01"
18873,"1400.10.01"
18874,"1400.11.01"
18875,"1400.12.01"
18852,"1500.01.01"
18853,"1500.02.01"
18854,"1500.03.01"
18855,"1500.04.01"
18856,"1500.05.01"
18857,"1500.06.01"
18858,"1500.07.01"
18859,"1500.08.01"
18860,"1500.09.01"
18861,"1500.10.01"
18862,"1500.11.01"
18863,"1500.12.01"
3092,"200.01.01"
3779,"200.01.01"
3815,"200.01.01"
3856,"200.01.01"
3994,"200.01.01"
4619,"200.01.01"
5003,"200.01.01"
12718,"200.01.01"
12962,"200.01.01"
23448,"200.01.01"
3093,"200.02.01"
3780,"200.02.01"
3816,"200.02.01"
3857,"200.02.01"
3995,"200.02.01"
4620,"200.02.01"
5004,"200.02.01"
12719,"200.02.01"
12963,"200.02.01"
23449,"200.02.01"
3094,"200.03.01"
3781,"200.03.01"
3817,"200.03.01"
3858,"200.03.01"
3996,"200.03.01"
4621,"200.03.01"
5005,"200.03.01"
12720,"200.03.01"
12964,"200.03.01"
23450,"200.03.01"
3095,"200.04.01"
3782,"200.04.01"
3818,"200.04.01"
3859,"200.04.01"
3997,"200.04.01"
4622,"200.04.01"
5006,"200.04.01"
12721,"200.04.01"
12965,"200.04.01"
3096,"200.05.01"
3783,"200.05.01"
3819,"200.05.01"
3860,"200.05.01"
3998,"200.05.01"
4623,"200.05.01"
5007,"200.05.01"
12722,"200.05.01"
12966,"200.05.01"
23451,"200.05.01"
3097,"200.06.01"
3784,"200.06.01"
3820,"200.06.01"
3861,"200.06.01"
3999,"200.06.01"
4624,"200.06.01"
5008,"200.06.01"
12723,"200.06.01"
12967,"200.06.01"
23452,"200.06.01"
3098,"200.07.01"
3785,"200.07.01"
3821,"200.07.01"
3862,"200.07.01"
4000,"200.07.01"
4625,"200.07.01"
5009,"200.07.01"
12724,"200.07.01"
12968,"200.07.01"
23453,"200.07.01"
3099,"200.08.01"
3786,"200.08.01"
3822,"200.08.01"
3863,"200.08.01"
4001,"200.08.01"
4626,"200.08.01"
5010,"200.08.01"
12725,"200.08.01"
12969,"200.08.01"
3100,"200.09.01"
3787,"200.09.01"
3823,"200.09.01"
3864,"200.09.01"
4002,"200.09.01"
4627,"200.09.01"
5011,"200.09.01"
12726,"200.09.01"
12970,"200.09.01"
23454,"200.09.01"
3101,"200.10.01"
3788,"200.10.01"
3824,"200.10.01"
3865,"200.10.01"
4003,"200.10.01"
4628,"200.10.01"
5012,"200.10.01"
12727,"200.10.01"
12971,"200.10.01"
23455,"200.10.01"
3102,"200.11.01"
3789,"200.11.01"
3825,"200.11.01"
3866,"200.11.01"
4004,"200.11.01"
4629,"200.11.01"
5013,"200.11.01"
12972,"200.11.01"
23456,"200.11.01"
3103,"200.12.01"
3790,"200.12.01"
3826,"200.12.01"
3867,"200.12.01"
4005,"200.12.01"
4630,"200.12.01"
5014,"200.12.01"
12728,"200.12.01"
12973,"200.12.01"
5015,"200.13.01"
23457,"200.13.01"
5016,"200.14.01"
23458,"200.14.01"
5017,"200.15.01"
23459,"200.15.01"
187988,"20A"
187989,"20B"
187990,"20C"
187991,"20D"
187992,"21A"
187993,"21B"
187994,"21C"
187995,"21D"
187996,"22A / IRP253"
187997,"22B / IRP254"
187998,"22C / IRP255"
187999,"22D / IRP256"
188000,"23A / IRP257"
188001,"23B / IRP258"
188002,"23C / IRP259"
188003,"23D / IRP260"
188004,"24A / IRP261"
188005,"24B / IRP262"
188006,"24C / IRP263"
188007,"24D / IRP264"
188008,"25A"
188009,"25B"
188010,"25C"
188011,"25D"
188012,"26A"
188013,"26B"
188014,"26C"
188015,"26D"
188016,"27A"
188017,"27B"
188018,"27C"
188019,"27D"
188020,"28A"
188021,"28B"
188022,"28C"
188023,"28D"
188024,"29A"
188025,"29B"
188026,"29C"
188027,"29D"
3347,"300.01.01"
3791,"300.01.01"
3827,"300.01.01"
4006,"300.01.01"
4631,"300.01.01"
12729,"300.01.01"
12974,"300.01.01"
22616,"300.01.01"
26301,"300.01.01"
3348,"300.02.01"
3792,"300.02.01"
3828,"300.02.01"
4007,"300.02.01"
4632,"300.02.01"
12730,"300.02.01"
12975,"300.02.01"
22617,"300.02.01"
26302,"300.02.01"
3349,"300.03.01"
3793,"300.03.01"
3829,"300.03.01"
4008,"300.03.01"
4633,"300.03.01"
12731,"300.03.01"
12976,"300.03.01"
22618,"300.03.01"
23460,"300.03.01"
26303,"300.03.01"
3350,"300.04.01"
3794,"300.04.01"
3830,"300.04.01"
4009,"300.04.01"
12732,"300.04.01"
12977,"300.04.01"
22619,"300.04.01"
23461,"300.04.01"
26304,"300.04.01"
3351,"300.05.01"
3795,"300.05.01"
3831,"300.05.01"
4010,"300.05.01"
4634,"300.05.01"
12733,"300.05.01"
12978,"300.05.01"
22620,"300.05.01"
23462,"300.05.01"
26305,"300.05.01"
3352,"300.06.01"
3796,"300.06.01"
3832,"300.06.01"
4011,"300.06.01"
4635,"300.06.01"
12734,"300.06.01"
12979,"300.06.01"
22621,"300.06.01"
23463,"300.06.01"
26306,"300.06.01"
3353,"300.07.01"
3797,"300.07.01"
3833,"300.07.01"
4012,"300.07.01"
4636,"300.07.01"
12735,"300.07.01"
12980,"300.07.01"
22622,"300.07.01"
23464,"300.07.01"
26307,"300.07.01"
3354,"300.08.01"
3798,"300.08.01"
